model,roc_auc,pr_auc,precision@0.5,recall@0.5,f1@0.5,tn,fp,fn,tp
lightgbm,0.9685826766622729,0.7118647024742677,0.26464200519813436,0.9067951689642552,0.40971226987101755,412200,41308,1528,14866
xgboost,0.967074927268432,0.7064437794128859,0.27408448065936125,0.8925216542637551,0.419381189182992,414755,38753,1762,14632
random_forest,0.968517830554552,0.696953997391733,0.24086214214969578,0.9345492253263389,0.3830106371011087,405220,48288,1073,15321
logistic_regression,0.8903248336770712,0.6166399380233818,0.45123562325147654,0.7083689154568744,0.5512936150011868,439385,14123,4781,11613
