model,best_params,best_cv_pr_auc,chosen_threshold,val_f1_at_chosen_threshold,test_roc_auc_tunedthr,test_pr_auc_tunedthr,test_threshold_tunedthr,test_precision_tunedthr,test_recall_tunedthr,test_f1_tunedthr,test_tn_tunedthr,test_fp_tunedthr,test_fn_tunedthr,test_tp_tunedthr,test_roc_auc_thr0.5,test_pr_auc_thr0.5,test_threshold_thr0.5,test_precision_thr0.5,test_recall_thr0.5,test_f1_thr0.5,test_tn_thr0.5,test_fp_thr0.5,test_fn_thr0.5,test_tp_thr0.5
logistic_regression,{'clf__C': 0.1},0.6248673140670359,0.97,0.6828671863059759,0.9138125610608061,0.6269686470675429,0.97,0.8396651641983258,0.6363303647675979,0.723991949476022,451516,1992,5962,10432,0.9138125610608061,0.6269686470675429,0.5,0.48857758620689656,0.6914114920092717,0.5725614992170531,441643,11865,5059,11335
random_forest,"{'n_estimators': 200, 'min_samples_leaf': 20, 'max_depth': None}",0.6939965767482893,0.9,0.687174778083869,0.9691542375916204,0.7131326580325686,0.9,0.832686366157015,0.6411492009271684,0.7244718613226729,451396,2112,5883,10511,0.9691542375916204,0.7131326580325686,0.5,0.40119022572210034,0.8142003171892156,0.5375213933353469,433585,19923,3046,13348
extra_trees,"{'n_estimators': 200, 'min_samples_leaf': 20, 'max_depth': None}",0.6552947992718718,0.8300000000000001,0.6885296381832179,0.9621360359249695,0.6788755497328696,0.8300000000000001,0.8388028564551071,0.6376723191411492,0.7245382402883183,451499,2009,5940,10454,0.9621360359249695,0.6788755497328696,0.5,0.43096528195865946,0.7859582774185677,0.5566836602436707,436495,17013,3509,12885
balanced_random_forest,"{'n_estimators': 100, 'min_samples_leaf': 20, 'max_depth': None}",0.6837805414550753,0.92,0.6863434775959627,0.9694444130575562,0.7029346440914791,0.92,0.8307801642451043,0.6417591801878736,0.7241379310344828,451365,2143,5873,10521,0.9694444130575562,0.7029346440914791,0.5,0.24666613174997995,0.9375991216298646,0.3905779516954859,406564,46944,1023,15371
xgboost,"{'subsample': 0.85, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.7117221095736559,0.93,0.6856882683259978,0.9692694478636366,0.7143805685701953,0.93,0.8176804044737245,0.6510918628766622,0.7249388753056235,451128,2380,5720,10674,0.9692694478636366,0.7143805685701953,0.5,0.2627605535119986,0.9150298889837746,0.40827935332861576,411419,42089,1393,15001
lightgbm,"{'num_leaves': 31, 'n_estimators': 400, 'learning_rate': 0.1, 'feature_fraction': 1.0}",0.7123552091214798,0.9400000000000001,0.6853211009174311,0.9682087593135895,0.7112811382182057,0.9400000000000001,0.825640227290418,0.6470050018299378,0.7254881843986184,451268,2240,5787,10607,0.9682087593135895,0.7112811382182057,0.5,0.2693451566405751,0.9004513846529218,0.4146570975126754,413463,40045,1632,14762
catboost,"{'learning_rate': 0.1, 'l2_leaf_reg': 7, 'iterations': 200, 'depth': 8}",0.7064363769084157,0.9500000000000001,0.6858798414150655,0.9696543428295464,0.7148086568181686,0.9500000000000001,0.8255931544146247,0.6473709893863608,0.7257000239324422,451266,2242,5781,10613,0.9696543428295464,0.7148086568181686,0.5,0.25346346028509836,0.9251555447114798,0.39791166555166396,408836,44672,1227,15167
mlp,"{'clf__learning_rate_init': 0.005, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.01}",0.6811688110521359,0.27,0.6897396630934151,0.9516338810745197,0.6803803202699208,0.27,0.8297738198439594,0.6422471635964377,0.7240656053364508,451348,2160,5865,10529,0.9516338810745197,0.6803803202699208,0.5,0.8397280233122875,0.6327924850555081,0.7217197718102129,451528,1980,6020,10374
