model,pr_auc,threshold_97pct,test_flagged_rate,recall@top1%,precision@top1%,recall@top3%,precision@top3%,recall@top5%,precision@top5%,recall@top10%,precision@top10%,seg_reused,seg_new
logistic_regression,0.7531559117618122,0.9902947820624716,0.026673646845512468,0.26820788093204834,0.9357310065971484,0.7435037208734903,0.8646520536284316,0.7843113334146639,0.5472653756118323,0.8278028547029401,0.2888061289636093,"{'recall@top3%': 0.743453884541926, 'precision@top3%': 0.8644602048857368, 'recall@top10%': 0.827182551906845, 'precision@top10%': 0.28853262271125246}","{'recall@top3%': 0.7423312883435583, 'precision@top3%': 0.8832116788321168, 'recall@top10%': 0.8834355828220859, 'precision@top10%': 0.3150984682713348}"
random_forest,0.8160643491508593,0.9717601207196431,0.023162276389545055,0.27564962791265096,0.9616939774420089,0.746553617177016,0.8681989075689863,0.829449798706844,0.5787614386039582,0.9187507624740758,0.3205362843158119,"{'recall@top3%': 0.7465344094633726, 'precision@top3%': 0.8680421233612723, 'recall@top10%': 0.9182428685848069, 'precision@top10%': 0.3202957104788103}","{'recall@top3%': 0.7484662576687117, 'precision@top3%': 0.8905109489051095, 'recall@top10%': 0.9754601226993865, 'precision@top10%': 0.3479212253829322}"
extra_trees,0.8021810852221772,0.9462379177990842,0.01981051368157616,0.2807124557765036,0.9793573100659715,0.7451506648773941,0.8665673547563312,0.8104184457728437,0.5654820174505214,0.8958765401976333,0.3125558629495637,"{'recall@top3%': 0.7450557575010782, 'precision@top3%': 0.8663228024930153, 'recall@top10%': 0.8955085946645308, 'precision@top10%': 0.31236568383048224}","{'recall@top3%': 0.7484662576687117, 'precision@top3%': 0.8905109489051095, 'recall@top10%': 0.9386503067484663, 'precision@top10%': 0.3347921225382932}"
balanced_random_forest,0.8194100776436047,0.9710557531449979,0.019321049921047367,0.27930950347688177,0.9744626516280059,0.7471635964377211,0.8689082783570973,0.8278028547029401,0.5776122579272186,0.9211906795168964,0.321387529261545,"{'recall@top3%': 0.747088903949233, 'precision@top3%': 0.8686868686868687, 'recall@top10%': 0.9206456780235353, 'precision@top10%': 0.32113384337660106}","{'recall@top3%': 0.754601226993865, 'precision@top3%': 0.8978102189781022, 'recall@top10%': 0.9693251533742331, 'precision@top10%': 0.34573304157549234}"
xgboost,0.8272322959687921,0.9827883839607239,0.026643853399219413,0.2819324142979139,0.9836135347946372,0.746553617177016,0.8681989075689863,0.8247529583994144,0.5754841455628857,0.919116750030499,0.32066397105767186,"{'recall@top3%': 0.7464727989649437, 'precision@top3%': 0.8679704849917615, 'recall@top10%': 0.919043805064383, 'precision@top10%': 0.3205750881114072}","{'recall@top3%': 0.7484662576687117, 'precision@top3%': 0.8905109489051095, 'recall@top10%': 0.9325153374233128, 'precision@top10%': 0.33260393873085337}"
lightgbm,0.8192247912525523,0.9836785867710025,0.0261352367089308,0.27973648895937536,0.975952330283039,0.7446016835427596,0.8659289210470312,0.825179943881908,0.5757820812938923,0.9166768329876784,0.3198127261119387,"{'recall@top3%': 0.7445628735136467, 'precision@top3%': 0.8657496955369296, 'recall@top10%': 0.916271332635081, 'precision@top10%': 0.3196080116908794}","{'recall@top3%': 0.7361963190184049, 'precision@top3%': 0.8759124087591241, 'recall@top10%': 0.950920245398773, 'precision@top10%': 0.33916849015317285}"
catboost,0.8264823095316856,0.9811284187028285,0.02734825559371954,0.2811394412589972,0.9808469887210045,0.746797608881298,0.8684826558842307,0.8282908381115042,0.5779527559055118,0.9171648163962425,0.3199829751010853,"{'recall@top3%': 0.7466576304602304, 'precision@top3%': 0.8681854001002938, 'recall@top10%': 0.9169490481177993, 'precision@top10%': 0.31984440814923065}","{'recall@top3%': 0.7484662576687117, 'precision@top3%': 0.8905109489051095, 'recall@top10%': 0.9263803680981595, 'precision@top10%': 0.3304157549234136}"
mlp,0.8078032025420815,0.6991235135204279,0.02917842443743589,0.2802244723679395,0.9776548201745052,0.7480175674027083,0.8699013974604526,0.807124557765036,0.5631836560970419,0.8894717579602294,0.31032134496701425,"{'recall@top3%': 0.747951450927238, 'precision@top3%': 0.8696898058600186, 'recall@top10%': 0.8894091553200666, 'precision@top10%': 0.31023811570532106}","{'recall@top3%': 0.7607361963190185, 'precision@top3%': 0.9051094890510949, 'recall@top10%': 0.9079754601226994, 'precision@top10%': 0.3238512035010941}"
